Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
1927,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1928,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1929,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1930,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1931,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,15,213,1721
1932,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1933,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1934,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1935,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1936,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1937,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1938,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1939,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1940,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1941,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1942,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1943,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1944,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1945,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1946,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1947,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,15,213,1721
1948,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1949,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1950,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
